type,variable,action,logical,physical,task,period (ms)
paldd,active_gear,read,Authentication manager,central_gateway,aut_task,50
paldd,actual_closures_lock_lid,read,Authentication manager,central_gateway,aut_task,50
paldd,actual_closures_lock_vehicle,read,Authentication manager,central_gateway,aut_task,50
paldd,alarm_hazard_lights_request,read,Authentication manager,central_gateway,aut_task,50
paldd,charging_cable_locked,read,Authentication manager,central_gateway,aut_task,50
paldd,charging_cable_plugged_in,read,Authentication manager,central_gateway,aut_task,50
paldd,closures_door_status,read,Authentication manager,central_gateway,aut_task,50
paldd,fob_closures_lock_lid_action,read,Authentication manager,central_gateway,aut_task,50
paldd,ivi_charge_action,read,Authentication manager,central_gateway,aut_task,50
paldd,ivi_closures_lock_lid_action,read,Authentication manager,central_gateway,aut_task,50
paldd,power_mode,read,Authentication manager,central_gateway,aut_task,50
paldd,starter_kill,read,Authentication manager,central_gateway,aut_task,50
paldd,vehicle_motion_state,read,Authentication manager,central_gateway,aut_task,50
paldd,authentication_level,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,charging_lid_open_state,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,closure_button_action_scu,read,Closures manager,central_gateway,clr_gw_read_button_task,10
paldd,fob_closures_lock_vehicle_action,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,ivi_closures_lock_vehicle_action,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,ivi_closures_reardoor_action,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,safety_doors_unlock_request,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,vehicle_speed,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,vehicle_speed_reliability,read,Closures manager,central_gateway,clr_control_closures_task,50
paldd,ac_actual,read,Driver Controls manager,central_gateway,dvi_task,50
paldd,active_gear,read,Driver Controls manager,central_gateway,dvi_task,50
paldd,actual_avh_status,read,Driver Controls manager,central_gateway,dvi_task,50
paldd,actual_closures_lock_lid,read,Driver Controls manager,central_gateway,dvi_task,50
paldd,actual_closures_lock_vehicle,read,Driver Controls manager,central_gateway,dvi_task,50
paldd,actual_closures_reardoor,read,Driver Controls manager,central_gateway,dvi_task,50
paldd,actual_grid_charging_current,read,Driver Controls manager,central_gateway,dvi_task,50
paldd,actual_headlight_level,read,Driver Controls manager,central_gateway,dvi_task,50
