type,variable,caller,action,logical,physical,task,period (ms)
palcan,tbd,receive_message,receive,tbd,scu,ssccan_can_comm_receive,tbd
palcan,tbd,gwy_receive_task,receive,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANinterrupt,receive,tbd,scu,scu_task_50ms,tbd
palcan,tbd,sensor_12v_get_results,receive,tbd,scu,scu_task_50ms,tbd
palcan,tbd,hvlv_converter_receive_messages,receive,tbd,scu,scu_task_50ms,tbd
palcan,tbd,send_receive_can_messages,receive,tbd,scu,scu_task_50ms,tbd
palcan,tbd,forward_if_received_stmin,receive,tbd,scu,gwy_fw_upgrade_forwarding_task,tbd
palcan,tbd,forward_if_received,receive,tbd,scu,gwy_fw_upgrade_forwarding_task,tbd
palcan,tbd,flush_bms_state_0x11a_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_bms_moduletemperatures_0x337_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_sc01_state_0x1f_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_abs1_0x103_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_abs2_0x205_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_brake_system_1_0x501_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_brake_system_3_0x304_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_diagnostics_1_0x107_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_diagnostics_2_0x108_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_longitudinal_acceleration_0x178_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_lateral_acceleration_0x179_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_fusa_feedback_fl_0x15_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_fusa_feedback_fr_0x16_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_fusa_feedback_rl_0x17_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,flush_fusa_feedback_rr_0x18_buffer,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_bms_state_0x11a,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_bms_moduletemperatures_0x337,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_sc01_state_0x1f,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_abs1_0x103,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_abs2_0x205,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_brake_system_1_0x501,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_brake_system_3_0x304,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_diagnostics_1_0x107,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_diagnostics_2_0x108,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_longitudinal_acceleration_0x178,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_lateral_acceleration_0x179,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_fusa_feedback_fl_0x15,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_fusa_feedback_fr_0x16,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_fusa_feedback_rl_0x17,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message_fusa_feedback_rr_0x18,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,hv_bms_can_comm_receive,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,read_dyno_config,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,read_dyno_torques,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,read_vehicle_can_messages,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message.3459,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message.3459,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,receive_message.3459,receive,tbd,scu,scu_task_10ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,on_reset_slave_3,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,on_reset_communication,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,on_can_config_done,tbd
palcan,tbd,send_message,transmit,tbd,scu,ssccan_can_comm_send,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,on_reset_slave_2,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,CO_CANsend,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,sensor_12v_run,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,hvlv_converter_send_messages,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,send_receive_can_messages,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,gwy_transmit_task,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,scu_version_handle_transmit,transmit,tbd,scu,scu_task_50ms,tbd
palcan,tbd,send_message_pt_request_0x11b,transmit,tbd,scu,can_outputs_manager_update,tbd
