type,variable,action,logical,physical,task,period (ms)
paldd,closures_hmi_scenario,read,Airbags manager,safety_control_unit_primary,scu_task_10ms,10
paldd,ic_okay,read,Airbags manager,safety_control_unit_primary,scu_task_10ms,10
paldd,odometer_reading,read,Airbags manager,safety_control_unit_primary,scu_task_10ms,10
paldd,operating_mode_ignition,read,Airbags manager,safety_control_unit_primary,scu_task_10ms,10
paldd,power_mode,read,Airbags manager,safety_control_unit_primary,scu_task_10ms,10
paldd,vehicle_speed,read,Airbags manager,safety_control_unit_primary,scu_task_10ms,10
paldd,active_gear,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_abs_active,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_abs_fail_wl,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_avh_active,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_avh_fail,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_brk_fluid_level_low,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_brk_pedal_act,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_brk_worn_front,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_brk_worn_rear,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_cpd_active,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_drp_active,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_drp_failed,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_epb_act_state_reliable,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_gen_diag_a_reliable,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_gen_diag_b_reliable,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,hecu_park_brk_wl,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,ivi_avh_enable,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,operating_mode_ignition,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,park_brake_actuation_request,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,regenerative_brake_active,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,temperature_ambient,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,vehicle_long_accel_reliable,read,Braking System Manager,safety_control_unit_primary,scu_task_50ms,50
paldd,charging_authentication_level,read,Closures manager,safety_control_unit_primary,scu_task_50ms,50
paldd,charging_cable_plugged_in,read,Closures manager,safety_control_unit_primary,scu_task_50ms,50
paldd,scu_ext_light_hmi_scenario,read,Driver Controls manager,safety_control_unit_primary,scu_task_50ms,50
paldd,scu_safety_hazard_lights_request,read,Driver Controls manager,safety_control_unit_primary,scu_task_50ms,50
paldd,bms_hvbs_aux_link_volt,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,bms_hvbs_cntr_state_aux1,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,bms_hvbs_isolation_error,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,bms_hvbs_isolation_state,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,bms_hvbs_max_mod_temp,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,bms_hvbs_min_mod_temp,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,bms_hvbs_state,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,brake_pedal_applied,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,charge_action,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,charge_allowed,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,charge_current_en_external_limit,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,charge_current_external_limit,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,ivi_max_charge_soc_setting,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,lvbs_engage,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,max_current_hv_to_lv,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,max_current_lv_to_hv,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,max_current_obc_charge,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,operating_mode_esc,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,operating_mode_ignition,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,power_mode,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,soc_hv_max,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,soc_hv_min,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,soc_lv_max,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,soc_lv_min,read,Energy Storage Controller,safety_control_unit_primary,scu_task_50ms,50
paldd,brake_lights_request,read,Exterior Lighting,safety_control_unit_primary,scu_task_50ms,50
paldd,operating_mode_lighting,read,Exterior Lighting,safety_control_unit_primary,scu_task_50ms,50
paldd,active_gear,read,Gear selector manager,safety_control_unit_primary,scu_task_10ms,10
paldd,enabled_gears,read,Gear selector manager,safety_control_unit_primary,scu_task_10ms,10
paldd,accelerator_pedal_value,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,brake_pedal_applied,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,cruise_control_active,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,cruise_velocity_request,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,inv_bus_curr_fl,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,inv_bus_curr_fl_rel,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,inv_bus_curr_fr,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,inv_bus_curr_fr_rel,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,inv_bus_curr_rl,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,inv_bus_curr_rl_rel,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
paldd,inv_bus_curr_rr,read,Propulsion control,safety_control_unit_primary,scu_task_10ms,10
