type,variable,action,logical,physical,task,period (ms)
paldd,acu_crash_detected,write,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,acu_ignition_request,write,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,airbag_hmi_scenario,write,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,belt_buckle_status,write,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,belt_reminder_status,write,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,closures_hmi_scenario,read,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,ic_okay,read,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,odometer_reading,read,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,operating_mode_ignition,read,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,power_mode,read,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,seat_occupant_status,write,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,vehicle_speed,read,Airbags manager,safety_control_unit_primary,amg_task,10
paldd,active_gear,read,Authentication manager,central_gateway,aut_task,50
paldd,actual_closures_lock_lid,read,Authentication manager,central_gateway,aut_task,50
paldd,actual_closures_lock_vehicle,read,Authentication manager,central_gateway,aut_task,50
paldd,alarm_hazard_lights_request,read,Authentication manager,central_gateway,aut_task,50
paldd,authentication_level,write,Authentication manager,central_gateway,aut_task,50
paldd,charge_action,write,Authentication manager,central_gateway,aut_task,50
paldd,charging_authentication_level,write,Authentication manager,central_gateway,aut_task,50
paldd,charging_cable_locked,read,Authentication manager,central_gateway,aut_task,50
paldd,charging_cable_plugged_in,read,Authentication manager,central_gateway,aut_task,50
paldd,closures_door_status,read,Authentication manager,central_gateway,aut_task,50
paldd,fob_closures_lock_lid_action,read,Authentication manager,central_gateway,aut_task,50
paldd,fob_closures_lock_vehicle_action,write,Authentication manager,central_gateway,aut_task,50
paldd,ivi_charge_action,read,Authentication manager,central_gateway,aut_task,50
paldd,ivi_closures_lock_lid_action,read,Authentication manager,central_gateway,aut_task,50
paldd,power_mode,read,Authentication manager,central_gateway,aut_task,50
paldd,starter_kill,read,Authentication manager,central_gateway,aut_task,50
paldd,vehicle_motion_state,read,Authentication manager,central_gateway,aut_task,50
paldd,active_gear,read,AVAS manager,vehicle_control_unit,avs_task,50
paldd,vehicle_long_accel,read,AVAS manager,vehicle_control_unit,avs_task,50
paldd,vehicle_speed,read,AVAS manager,vehicle_control_unit,avs_task,50
paldd,active_gear,read,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,actual_avh_status,write,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,brake_hazard_lights_request,write,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,brake_hmi_scenario,write,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,brake_lights_request,write,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,brake_pedal_applied,write,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,hecu_abs_active,read,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,hecu_abs_fail_wl,read,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,hecu_ambient_temp,write,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,hecu_avh_active,read,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,hecu_avh_enable,write,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,hecu_avh_fail,read,Braking System Manager,safety_control_unit_primary,bsm_task,50
paldd,hecu_brk_fluid_level_low,read,Braking System Manager,safety_control_unit_primary,bsm_task,50
