type,variable,action,logical,physical,task,period (ms),
paldd,active_gear,read,AVAS manager,vehicle_control_unit,avs_task,50,
paldd,vehicle_long_accel,read,AVAS manager,vehicle_control_unit,avs_task,50,
paldd,vehicle_speed,read,AVAS manager,vehicle_control_unit,avs_task,50,
paldd,cmm_ambient_light_level,read,CMS manager,vehicle_control_unit,cmm_task,50,
paldd,ambient_light_reliability,read,CMS manager,vehicle_control_unit,cmm_task,50,
paldd,closures_door_status,read,CMS manager,vehicle_control_unit,cmm_task,50,
paldd,cms_hmi_scenario,write,CMS manager,vehicle_control_unit,cmm_task,50,
paldd,ivi_cms_brightness_setting,read,CMS manager,vehicle_control_unit,cmm_task,50,
paldd,power_mode,read,CMS manager,vehicle_control_unit,cmm_task,50,
paldd,active_gear,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,actual_closures_lock_vehicle,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,alarm_hazard_lights_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,alarm_sensors_off,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,audio_notification_request,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,brake_pedal_applied,read,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,cruise_control_active,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,cruise_control_hmi_scenario,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,cruise_velocity_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,dcm_hmi_scenario,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,exterior_lighting_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,fog_light_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,high_beam_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,horn_request,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,media_next,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,media_prev,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,media_scroll,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,media_source,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,media_toggle_widget,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,media_volume_down,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
paldd,media_volume_up,write,Driver Controls manager,vehicle_control_unit,dcm_vcu_task,50,
